tagnum,Easting,Northing,elevation
%d,%f,%f,%f
230500,653448.7018,4859055.955,105.249203
230502,653447.2734,4859057.582,105.368206
230503,653422.7417,4859063.646,105.0825
230507,653423.5571,4859061.085,105.134883
230513,653447.1228,4859056.497,105.250076
230529,653448.4781,4859055.818,105.281142
230544,653445.0949,4859056.254,105.085492
230549,653445.3918,4859056.949,105.080246
230555,653450.5815,4859055.173,105.243957
230556,653443.535,4859056.202,105.05335
230558,653421.0661,4859066.14,105.155265
230564,653445.417,4859056.072,105.099627
230565,653421.3302,4859063.827,105.091561
230569,653443.0969,4859056.579,105.077867
230570,653418.7628,4859068.652,105.007213
230575,653421.4286,4859067.335,105.03036
230578,653448.2337,4859056.939,105.205555
230579,653448.1221,4859054.965,105.211853
230594,653422.6972,4859061.097,105.152837
230627,653421.0721,4859065.012,105.061557
230628,653420.1263,4859067.487,105.050897
230633,653444.7081,4859056.83,105.08622
230634,653446.9522,4859057.589,105.40972
230641,653446.5722,4859055.088,105.187955
230643,653450.6104,4859055.947,105.317465
230644,653422.9722,4859064.59,105.01763
230653,653442.3673,4859056.603,105.089744
230657,653422.9592,4859064.098,104.99868
230659,653448.3371,4859056.301,105.22344
230661,653422.933,4859060.25,105.080902
230662,653419.8317,4859068.22,105.08115
230668,653450.0946,4859055.398,105.276123
230670,653449.3634,4859055.2,105.205716
230684,653422.6047,4859062.371,105.195888
230687,653441.3186,4859055.654,105.112114
230691,653447.4244,4859057.156,105.21824
230697,653447.2921,4859055.516,105.183997
230698,653422.7313,4859064.962,105.041336
230712,653423.2332,4859063.859,105.037778
230732,653444.3273,4859054.609,105.234517
230739,653443.8011,4859055.232,105.15156
230741,653419.9502,4859067.919,105.061583
230755,653421.4219,4859062.801,105.163081
230763,653422.0292,4859065.039,105.040176
230772,653449.0158,4859057.558,105.264798
230781,653448.6342,4859056.471,105.388398
230783,653442.3334,4859056.285,105.081984
230786,653421.6452,4859063.499,105.111861
230789,653446.5412,4859055.556,105.219519
230797,653421.2019,4859065.9,105.139366
230799,653423.4341,4859060.411,105.08672
230800,653420.4518,4859067.179,105.100843
230803,653422.1766,4859060.829,105.067815
230806,653447.9606,4859056.795,105.283192
230809,653443.457,4859056.552,105.033162
230824,653419.0457,4859068.237,105.019151
230825,653422.7279,4859061.879,105.196534
230826,653420.4357,4859068.668,105.078163
230829,653441.1484,4859054.421,105.177267
230830,653441.2249,4859056.477,105.109415
230838,653441.8322,4859054.986,105.108602
230844,653442.6996,4859054.769,105.087688
230852,653420.5112,4859066.835,105.095675
230853,653442.9051,4859056.277,105.052087
230854,653448.9833,4859058.078,105.286954
230855,653447.5178,4859056.095,105.220842
230857,653441.0164,4859055.019,105.154562
230867,653444.3641,4859055.999,105.073114
230869,653441.9198,4859054.723,105.103575
230895,653419.6927,4859068.697,105.02398
230897,653445.3007,4859055.248,105.246942
230901,653421.7957,4859066.603,104.994594
230903,653420.276,4859066.08,105.023429
230912,653442.2598,4859054.28,105.078261
230914,653445.948,4859056.136,105.197179
230923,653421.3982,4859064.311,105.071914
230933,653448.8266,4859056.159,105.320459
230935,653422.2518,4859065.995,105.040859
230942,653443.1524,4859054.386,105.172894
230943,653423.2545,4859062.167,105.127803
230944,653422.2566,4859064.254,105.094186
230947,653421.4298,4859065.99,105.087909
230950,653449.3259,4859056.421,105.370037
230952,653420.6787,4859067.235,105.10848
230953,653421.7976,4859062.888,105.174024
230956,653446.7271,4859055.655,105.22356
230958,653420.5935,4859065.819,105.052788
230960,653446.5648,4859056.273,105.189274
230963,653441.3492,4859054.828,105.153887
230966,653419.008,4859068.779,105.058402
230984,653444.1572,4859055.516,105.125272
230986,653446.9495,4859054.862,105.189583
230990,653422.2576,4859062.313,105.192259
231003,653446.1057,4859056.921,105.124534
231020,653419.27,4859068.393,105.06499
231021,653423.0614,4859060.876,105.117795
231029,653419.2435,4859068.834,105.029933
231041,653448.7969,4859055.306,105.233264
231042,653419.8194,4859067.831,105.098277
231044,653419.682,4859067.701,105.058347
231053,653421.6395,4859064.92,105.04825
231054,653421.2513,4859063.009,105.114358
231057,653423.1249,4859062.938,105.075469
231062,653444.899,4859055.078,105.235096
231067,653442.2933,4859054.579,105.086088
231078,653419.4097,4859066.593,104.911882
231084,653418.7778,4859067.634,104.964654
231105,653443.4969,4859055.157,105.19364
231126,653420.4867,4859066.284,105.081643
231130,653422.4181,4859062.757,105.170086
231131,653420.7773,4859066.505,105.151743
231133,653422.5906,4859065.294,105.039291
231134,653420.2502,4859066.603,105.063297
231136,653449.7363,4859058.235,105.319675
231139,653444.3002,4859055.016,105.175012
231142,653444.7729,4859056.422,105.032807
231157,653420.526,4859064.75,105.000777
231163,653422.126,4859062.65,105.161352
231165,653423.1319,4859061.612,105.167734
231170,653443.0652,4859055.461,105.019259
231173,653445.4016,4859057.326,105.234602
231179,653421.6696,4859062.167,105.14279
231180,653422.4538,4859060.583,105.073238
231185,653421.9848,4859064.539,105.071517
231187,653445.828,4859057.149,105.133512
231192,653422.2409,4859065.573,104.994952
231193,653422.9459,4859061.118,105.149515
231195,653440.7365,4859056.38,105.176197
231196,653419.2677,4859066.889,104.985056
231198,653450.6144,4859056.554,105.42394
231199,653421.975,4859065.829,105.039075
231202,653445.1857,4859055.795,105.152735
231204,653443.2201,4859056,105.091998
231205,653441.8293,4859055.345,105.10655
231206,653419.7545,4859067.27,105.005011
231209,653420.4554,4859065.13,104.993793
231210,653422.7617,4859061.554,105.147649
231211,653421.9583,4859063.627,105.13554
231212,653421.6889,4859066.114,105.034767
231213,653423.4359,4859061.724,105.13427
231217,653422.0676,4859062.987,105.180389
231224,653421.9966,4859061.738,105.124419
231228,653444.2637,4859057.082,105.068351
231229,653445.8801,4859056.455,105.148604
231232,653449.8353,4859057.231,105.356219
231237,653449.3442,4859056.027,105.333029
231238,653442.1967,4859055.465,105.083198
231240,653422.4359,4859060.109,105.038829
231241,653444.5166,4859055.22,105.215967
231247,653447.9656,4859057.126,105.244171
231255,653444.8413,4859055.793,105.139443
231259,653422.6231,4859060.654,105.056171
231260,653421.3461,4859066.385,105.112274
231261,653441.6795,4859055.999,105.036161
231262,653421.1887,4859065.026,105.016651
231264,653422.5167,4859062.978,105.124107
231266,653447.1578,4859056.327,105.234019
231269,653444.9634,4859056.797,105.014469
231271,653443.4136,4859054.605,105.092346
231280,653421.1304,4859065.382,105.002994
231282,653448.5743,4859057.994,105.241327
231283,653446.7926,4859055.466,105.188388
231286,653420.0276,4859068.909,105.061676
231292,653423.9346,4859060.72,105.04079
231294,653421.2769,4859063.402,105.059588
231295,653441.8514,4859056.534,105.119538
231302,653421.635,4859063.228,105.102032
231303,653444.3888,4859054.998,105.204683
231311,653445.6328,4859054.815,105.233787
231314,653423.5424,4859062.281,104.999793
231320,653418.4458,4859068.433,105.013149
231329,653419.0529,4859067.342,104.880266
231338,653418.9329,4859067.866,104.881845
231339,653420.8645,4859065.952,105.03692
231344,653419.8721,4859066.442,104.960561
231354,653423.2805,4859061.254,105.156754
231376,653448.0891,4859057.81,105.199629
231377,653420.8597,4859064.145,104.926212
231381,653442.9429,4859055.881,104.993601
231382,653444.88,4859055.358,105.109444
231383,653423.5298,4859060.631,105.101505
231385,653446.1634,4859056.234,105.148884
231386,653449.9826,4859056.214,105.378647
231391,653422.9699,4859061.607,105.128788
231392,653446.5299,4859056.771,105.13642
231396,653422.284,4859063.84,105.037759
231406,653447.7882,4859057.587,105.237674
231409,653421.262,4859064.747,105.113113
231410,653443.1225,4859056.767,105.028373
231412,653420.2445,4859068.49,105.032823
231413,653421.7295,4859065.781,104.97441
231423,653440.9629,4859055.326,105.026626
231425,653420.7724,4859067.1,105.000654
231426,653443.3338,4859057.021,105.043009
231427,653420.4851,4859065.556,104.940984
231433,653446.1265,4859057.521,105.207627
231434,653448.8905,4859056.931,105.383249
231435,653422.4776,4859061.865,105.114836
231440,653423.5592,4859061.448,105.132389
231444,653422.6171,4859063.59,105.026138
231446,653447.084,4859056.78,105.13027
231453,653423.3713,4859063.05,105.048562
231455,653443.8568,4859056.575,104.999386
231460,653419.3755,4859068.433,104.971255
231465,653422.3231,4859065.151,104.951144
231469,653421.4006,4859065.178,104.975782
231475,653420.7241,4859067.301,105.060931
231481,653450.2535,4859058.067,105.32571
231483,653423.7747,4859061.134,105.056757
231494,653450.4186,4859057.638,105.361283
231495,653419.4511,4859067.096,104.917486
231505,653448.8805,4859055.679,105.21974
231509,653422.5986,4859064.406,104.928781
231510,653441.4161,4859055.319,105.076939
231513,653446.0993,4859054.759,105.233295
231525,653441.4578,4859056.546,105.063968
231526,653423.2338,4859062.636,105.079319
231532,653448.021,4859056.166,105.285963
231533,653443.753,4859056.82,104.995211
231537,653421.1084,4859063.732,105.053155
231542,653443.6317,4859056.108,104.992603
231543,653447.6671,4859055.631,105.205326
231550,653449.3661,4859056.945,105.278281
231552,653423.1793,4859063.332,105.072879
231559,653447.4889,4859056.623,105.282324
231566,653420.9817,4859067.519,105.102816
231568,653449.397,4859057.502,105.300387
231571,653442.4575,4859055.702,104.97979
231578,653422.8836,4859062.474,105.100742
231584,653420.1499,4859065.319,104.880111
231585,653420.4017,4859068.107,105.103988
231589,653419.4947,4859069.011,105.109635
231590,653449.6941,4859057.799,105.274514
231593,653421.7718,4859062.626,105.127566
231596,653420.1196,4859067.016,105.03345
231598,653442.9253,4859054.998,105.037169
231602,653442.2564,4859055.136,105.025922
231603,653445.4837,4859055.594,105.18378
231605,653448.1412,4859057.413,105.213147
231607,653445.9528,4859055.76,105.160163
231612,653442.5339,4859055.419,105.117566
231614,653445.2653,4859054.653,105.250699
231621,653421.5276,4859064.397,105.006927
231622,653444.3963,4859055.662,105.088805
231623,653441.3743,4859055.91,105.09159
231632,653448.5815,4859057.098,105.216377
231639,653440.8839,4859056.181,105.165594
231645,653423.6522,4859061.854,104.997555
231646,653421.3781,4859066.77,104.925367
231648,653421.6053,4859066.994,104.949101
231750,653448.7485,4859057.402,105.203603
231764,653421.9347,4859065.45,104.836302
231767,653442.0013,4859056.156,105.090884
231773,653421.4718,4859065.554,104.947734
231777,653422.0043,4859062.259,105.076388
231792,653444.8905,4859057.334,105.034034
231799,653420.4179,4859067.669,104.967716
231800,653449.8182,4859056.533,105.295323
231801,653449.3601,4859057.967,105.119607
231803,653420.2789,4859065.644,104.872648
231805,653423.1183,4859060.334,104.964348
231809,653422.3711,4859063.494,105.087809
231810,653444.0774,4859055.754,104.92047
231815,653441.416,4859054.248,105.096136
231821,653421.154,4859067.249,104.890968
231822,653445.9589,4859056.453,105.10975
231826,653447.8655,4859055.68,105.12548
231829,653442.7577,4859054.336,105.046187
231831,653446.5052,4859057.494,105.183007
231837,653444.3852,4859056.367,104.975988
231838,653422.2601,4859064.733,104.910093
231843,653422.9833,4859062.012,105.041464
231847,653422.7254,4859063.279,104.938556
231848,653442.6779,4859056.702,104.982949
231849,653444.9245,4859054.748,105.084197
231855,653422.4595,4859061.433,105.032795
231858,653419.6827,4859066.749,104.866354
231859,653445.368,4859056.543,105.007353
231862,653418.6461,4859068.092,104.876196
231869,653445.8456,4859055.346,105.099721
231870,653449.0173,4859055.215,105.108678
231871,653422.6773,4859062.894,105.019038
231874,653423.9224,4859061.55,104.896833
231876,653447.4673,4859055.104,105.096997
231880,653447.8531,4859054.912,105.079055
231884,653443.3682,4859055.712,104.963283
231886,653422.7694,4859064.01,104.894978
231894,653448.5762,4859054.895,105.078259
231895,653419.3829,4859067.6,104.842737
231907,653420.8583,4859064.588,104.902759
231908,653421.7654,4859064.006,104.968622
231909,653419.8438,4859068.974,105.013944
231915,653419.6314,4859068.105,104.936225
231921,653420.6927,4859065.704,104.918901
231924,653423.2708,4859061.032,105.008443
231926,653419.9785,4859065.954,104.835414
231927,653450.4714,4859057.253,105.299134
231933,653440.8871,4859055.731,105.031067
231936,653441.8985,4859054.274,105.048401
231944,653443.9117,4859054.858,105.038502
